Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,Currency,"If ""Other,"" please indicate the currency here:","If your income needs additional context, please provide it here:",Work Country,State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
25-34,Health care,Registered Nurse,2 jobs,200000,,USD,,,United States of America,California,Palo Alto,2-4 years,5-7 years,College degree,Woman,Asian or Asian American
25-34,Business or Consulting,Senior Program Manager,,87250,,USD,,,United States of America,District of Columbia,Washington,8-10 years,8-10 years,Master's degree,Woman,White
35-44,Education (Higher Education),Director of Development,For a specific academic dept,110000,0,USD,,,United States of America,Massachusetts,Cambridge,5-7 years,5-7 years,PhD,Woman,White
35-44,Computing or Tech,content analyst,part of the content editorial team but more analysis,62355,0,USD,,,United States of America,Washington,Vancouver,11-20 years,8-10 years,Master's degree,Woman,White
45-54,Business or Consulting,Agile Coach,IT management consulting,220000,,USD,,,United States of America,Maryland,Washington,11-20 years,8-10 years,College degree,Woman,"Asian or Asian American, Middle Eastern or Northern African"
25-34,Social Work,Substance abuse counselor,,59000,0,USD,,,United States of America,New York,Middletown,11-20 years,11-20 years,Master's degree,Woman,White
45-54,Recruitment or HR,HR Director,,170000,42500,USD,,"Noted bonus is target, not actual",United States of America,Nevada,Las Vegas,21-30 years,21-30 years,Some college,Woman,White
45-54,Nonprofits,CEO/Exec Director,,90000,0,USD,,,United States of America,New York,Kingston,21-30 years,8-10 years,Some college,Woman,White
45-54,"Accounting, Banking & Finance",Administrative Assistant,Have some accounting duties,51480,0,USD,,I am hourly,United States of America,Kansas,Wichita,31-40 years,21-30 years,Some college,Woman,Another option not listed here or prefer not to answer
25-34,Education (Higher Education),Senior Instructional Designer,,75700,0,USD,,,United States of America,Minnesota,Minneapolis,5-7 years,2-4 years,Master's degree,Woman,White
35-44,Education (Higher Education),Lead Software Engineer,,180000,,USD,,,United States of America,Texas,Austin,11-20 years,8-10 years,College degree,Man,White
35-44,Property or Construction,Office Manager,,52000,5000,USD,,,United States of America,Ohio,Columbus,11-20 years,5-7 years,High School,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Media & Digital,UX Designer,,67000,2000,USD,,,United States of America,New York,Rochester,2-4 years,2-4 years,College degree,Woman,White
25-34,Law,Patent Prosecution Paralegal,,80000,,USD,,,United States of America,Washington,Seattle,8-10 years,5-7 years,College degree,Woman,White
35-44,"Accounting, Banking & Finance",IT Auditor,,83400,15000,USD,,,United States of America,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman,White
18-24,Nonprofits,Housing Associate,Job is split between student outreach and care and working as a houseparent in a group home,27500,,USD,,Housing is provided,United States of America,Washington,Seattle,2-4 years,2-4 years,College degree,Woman,White
25-34,Education (Higher Education),Digital Marketing Specialist,,74500,0,USD,,,United States of America,New Jersey,Piscataway,5-7 years,5-7 years,Master's degree,Woman,White
18-24,Social Work,Case Planner in Children’s Welfare,,39000,,USD,,,United States of America,New York,New York,2-4 years,1 year or less,College degree,Woman,White
35-44,Computing or Tech,Content Designer,,132840,0,USD,,,United States of America,California,San Francisco,11-20 years,2-4 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White"
45-54,Insurance,Financial analyst,,87090,12000,USD,,,United States of America,Illinois,Chicago,21-30 years,11-20 years,Master's degree,Woman,Another option not listed here or prefer not to answer
55-64,Nonprofits,Association Solutions,I work for a full-service management firm; our clients are non-profits.,47000,,USD,,,United States of America,Virginia,Annandale Va,21-30 years,2-4 years,Some college,Woman,White
25-34,Nonprofits,Office Administrator,,32520,200,USD,,,United States of America,Kentucky,Louisville,8-10 years,8-10 years,Some college,Woman,White
25-34,Engineering or Manufacturing,Lab Manager,,121000,36000,USD,,,United States of America,Minnesota,St Paul,11-20 years,11-20 years,Master's degree,Man,White
25-34,Government and Public Administration,Instructional Systems Designer,,78000,3500,USD,,,United States of America,Maryland,Rockville,5-7 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
35-44,Education (Higher Education),Assistant Director of Institutional Research,,109000,,USD,,,United States of America,New York,Ithaca,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Man,Black
25-34,Education (Higher Education),Pre-Health Advisor,I provide academic and career advising to undergraduate and graduate students wanting to go into medical/healthcare careers,52500,0,USD,,,United States of America,Ohio,Cleveland,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Health care,Unit secretary,,20000,0,USD,,,United States of America,Louisiana,Hammond,11-20 years,1 year or less,Some college,Woman,Black or African American
25-34,Nonprofits,Research and Data Analyst,Data science skill set in a research non-profit setting.,65000,500,USD,,,United States of America,California,Los Angeles,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Computing or Tech,Software Engineer,,105000,,USD,,,United States of America,California,San Diego,11-20 years,8-10 years,Some college,Man,White
25-34,"Accounting, Banking & Finance",Internal Auditor,,80000,8000,USD,,,United States of America,Missouri,St. Louis,2-4 years,2-4 years,Master's degree,Woman,Asian or Asian American
25-34,Engineering or Manufacturing,Staff Engineer,Local Gov. City Planning,76000,5000,USD,,,United States of America,North Dakota,Williston,5-7 years,1 year or less,College degree,Woman,White
35-44,Health care,user Provisioning Analyst,"IT department that provisions access for all employees, non-employees, students, residents, etc in most of our various applications including network and email accounts.",58000,5000,USD,,,United States of America,Ohio,Cincinnati,11-20 years,11-20 years,College degree,Woman,White
45-54,Scientific Research,Security Engineer,"Computer security, including design and architecture",180000,0,USD,,,United States of America,California,San Mateo,21-30 years,21-30 years,Master's degree,Man,White
25-34,Art & Design,Interior Designer,,55000,12000,USD,,,United States of America,Hawaii,Honolulu,5-7 years,5-7 years,College degree,Woman,White
45-54,Business or Consulting,Tax Specialist,,22880,2500,USD,,,United States of America,Pennsylvania,Berwick,5-7 years,2-4 years,Some college,Woman,White
35-44,Law,Attorney,Trial attorney,113362,0,USD,,,United States of America,Maryland,Joint Base Andrews,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Man,White
25-34,Engineering or Manufacturing,FP&A Manager,,95000,10000,USD,,,United States of America,Texas,Dallas,8-10 years,5-7 years,Master's degree,Woman,White
35-44,Engineering or Manufacturing,Software Engineer,,113000,3000,USD,,,United States of America,New York,Buffalo,11-20 years,11-20 years,Master's degree,Man,White
35-44,Education (Higher Education),Head Swimming & Diving Coach (NCAA Division II),,36000,0,USD,,,United States of America,Ohio,Cleveland,11-20 years,11-20 years,Master's degree,Man,White
35-44,Government and Public Administration,Scientific grants management,,106000,,USD,,,United States of America,Maryland,Frederick,8-10 years,2-4 years,PhD,Woman,White
25-34,"Leisure, Sport & Tourism",Associate Director of Athletics Communications,,50000,0,USD,,,United States of America,District of Columbia,Washington,2-4 years,2-4 years,Master's degree,Man,White
25-34,Computing or Tech,Marketing Manager,,75000,0,USD,,,United States of America,California,Rocklin,5-7 years,5-7 years,Some college,Woman,White
25-34,Insurance,Appeal adjudicator,Property insurance,45760,4800,USD,,"This is gross income (pretax, etc)",United States of America,Washington,Seattle,11-20 years,5-7 years,College degree,Woman,"White, Another option not listed here or prefer not to answer"
35-44,Education (Higher Education),Accounts Payable Manager,,100000,10000,USD,,,United States of America,California,Santa Clara,11-20 years,8-10 years,Master's degree,Man,White
25-34,Law,Associate Attorney,,63000,0,USD,,,United States of America,Florida,Fort Lauderdale,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White
35-44,"Marketing, Advertising & PR",Copywriter,Certified in Medical Writing,70000,0,USD,,,United States of America,Massachusetts,Boston,11-20 years,2-4 years,College degree,Woman,White
35-44,Education (Higher Education),Lead Collection Development Librarian,,68000,,USD,,,United States of America,Colorado,Denver,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,Quality operations specialist,,81000,10000,USD,,,United States of America,North Carolina,Durham,8-10 years,8-10 years,College degree,Woman,White
35-44,Education (Higher Education),Student Services Coordinator,"I'm an academic advisor for students but also run program-level things (events, curriculum, admissions, etc.)",62000,,USD,,,United States of America,Wisconsin,Madison,8-10 years,8-10 years,Master's degree,Woman,White
25-34,Law,Paralegal,,43500,200,USD,,,United States of America,Missouri,Springfield,8-10 years,5-7 years,College degree,Woman,White
55-64,Nonprofits,Lead Advocate,I supervise other advocates who directly serve our clients.,50830,0,USD,,,United States of America,Arkansas,Fayetteville,31-40 years,21-30 years,Master's degree,Woman,White
35-44,Education (Higher Education),Human Resources Representative,,43829,0,USD,,,United States of America,Texas,San Marcos,8-10 years,5-7 years,College degree,Woman,White
35-44,Nonprofits,Director of Principal Giving,Fundraising,150000,,USD,,,United States of America,New York,New York,11-20 years,11-20 years,College degree,Woman,Black or African American
35-44,Transport or Logistics,Safety and Compliance Manager,,70000,7000,USD,,,United States of America,Alabama,Huntsville,8-10 years,2-4 years,College degree,Woman,White
35-44,Education (Higher Education),Grant Director,"Small, rural, private University",62000,,USD,,,United States of America,New York,Potsdam,8-10 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,White
18-24,Computing or Tech,Network Engineer,IT Networking,72000,8000,USD,,,United States of America,Indiana,Indianapolis,1 year or less,2-4 years,College degree,Man,Another option not listed here or prefer not to answer
25-34,Business or Consulting,Associate,"MBA, JD, PhD, MD level consultant at McKinsey & Company",165000,35000,USD,,"30K signing bonus, 35K annual bonus, 5-10K for moving expenses (based on distance of move)",United States of America,Georgia,Atlanta,1 year or less,8-10 years,PhD,Woman,Black or African American
35-44,Computing or Tech,Senior Software Engineer,,120000,5000,USD,,"Worked partial year so partial bonus. No stock, RSU, or anything else.",United States of America,Pennsylvania,Pittsburgh,11-20 years,8-10 years,College degree,Woman,White
35-44,Law,Managing Associate,ranking just below partner in our law firm,120000,30000,USD,,,United States of America,Texas,Houston,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
55-64,"Accounting, Banking & Finance",CPA,,62000,,USD,,I work 1960 hours a year,United States of America,Minnesota,New Ulm,31-40 years,31-40 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Accountant,,87550,,USD,,,United States of America,California,Los Angeles,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
45-54,Computing or Tech,"Senior Manager, Strategic Communications",I facilitate the flow of information within my organization and from my organization to the larger enterprise we are a part of.,130000,20000,USD,,I also get stock options.,United States of America,District of Columbia,Washington,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Social Work,School social worker,"in a large, urban school district",80000,,USD,,"Summers off, so this is for about 42 weeks of work",United States of America,Maryland,Baltimore,11-20 years,11-20 years,Master's degree,Woman,White
